Machine 3 log started at 2025-03-05 12:46:03.415987
Clock rate: 3.25 ticks per second
2025-03-05 12:47:40 | RECEIVE | Clock: 423 | Message clock: 422, Queue length: 0
2025-03-05 12:47:40 | INTERNAL | Clock: 424 | Internal event
2025-03-05 12:47:40 | INTERNAL | Clock: 425 | Internal event
2025-03-05 12:47:41 | INTERNAL | Clock: 426 | Internal event
2025-03-05 12:47:41 | INTERNAL | Clock: 427 | Internal event
2025-03-05 12:47:41 | INTERNAL | Clock: 428 | Internal event
2025-03-05 12:47:42 | INTERNAL | Clock: 429 | Internal event
2025-03-05 12:47:42 | RECEIVE | Clock: 431 | Message clock: 430, Queue length: 0
2025-03-05 12:47:42 | RECEIVE | Clock: 432 | Message clock: 431, Queue length: 0
2025-03-05 12:47:43 | RECEIVE | Clock: 433 | Message clock: 432, Queue length: 0
2025-03-05 12:47:43 | INTERNAL | Clock: 434 | Internal event
2025-03-05 12:47:43 | INTERNAL | Clock: 435 | Internal event
2025-03-05 12:47:44 | INTERNAL | Clock: 436 | Internal event
2025-03-05 12:47:44 | RECEIVE | Clock: 438 | Message clock: 437, Queue length: 1
2025-03-05 12:47:44 | RECEIVE | Clock: 439 | Message clock: 437, Queue length: 1
2025-03-05 12:47:45 | RECEIVE | Clock: 440 | Message clock: 439, Queue length: 0
2025-03-05 12:47:45 | SEND | Clock: 441 | Sent to machine 2
2025-03-05 12:47:45 | INTERNAL | Clock: 442 | Internal event
2025-03-05 12:47:45 | RECEIVE | Clock: 444 | Message clock: 443, Queue length: 0
2025-03-05 12:47:46 | INTERNAL | Clock: 445 | Internal event
2025-03-05 12:47:46 | SEND | Clock: 446 | Sent to machine 1
2025-03-05 12:47:46 | INTERNAL | Clock: 447 | Internal event
2025-03-05 12:47:47 | INTERNAL | Clock: 448 | Internal event
2025-03-05 12:47:47 | RECEIVE | Clock: 451 | Message clock: 450, Queue length: 0
2025-03-05 12:47:47 | RECEIVE | Clock: 452 | Message clock: 451, Queue length: 0
2025-03-05 12:47:48 | RECEIVE | Clock: 454 | Message clock: 453, Queue length: 0
2025-03-05 12:47:48 | INTERNAL | Clock: 455 | Internal event
